Paper #,Device #,DOI,Manufacturer,Manuscripted submitted year,Country,Efficiency (%),Voc (V),Voc per cell (V),Isc (mA),Jsc (mA/cm^2),FF (%),Pmax (mW),Vmax (V),Imax (mA),Apeture area (cm^2),Device size type,Sweep direction,Sweep rate (mV/s),Certified year,Transparent conductive oxide type,Electron transport layer type,Perovskite composition,Perovskite chemistry type,extra,extra%,MA,FA,Pb,I,Br,Passive_layer,Perovksite depostion method,Hole transport layer type,Conductive electrode layer,Device structure,exposed_time,retained_per,stability
17,1,10.1002/aenm.201700444,Monash university,2017,Australia,15.15,1.0103,1.0103,21.337,20.43969729,73.4,0.01581,NA,NA,1.0439,cell ( ~1 cm^2),NA,NA,2016,FTO,c-TiO2/mp-TiO2,"MA0.984EDA0.008PbI3(EDA=ethane-1,2-diammonium)","(FA,MA)PbI3",EDA,0.008,0.984,0,1,3,0,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,72,75,5.4
18,1,10.1002/adma.201701073,"National Institute for Materials Science, Japan",2017,Japan,19.19,1.122,1.122,23.17,22.60487805,75.7,19.68,0.91,21.62,1.025,cell ( ~1 cm^2),forward,NA,2016,FTO,C60,MAPbI3/MAAc/thisemicabazide,MAPbI3,NA,0,1,0,1,3,0,thisemicabazide,spin coating,NiMgLiO,Ag,Inverted planar,500,80,40
19,1,10.1038/nature23877,Shanghai JiaoTong University,2017,China,12.07,8.36,0.836,73,20.20481594,71.5,436,6.59,66.1,36.13,submodule ( >10 cm^2),forward,NA,2016,FTO,c-TiO2/mp-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,pressure processing,Spiro-OMeTAD,Au,Mesoscopic,500,90,45
20,1,10.1126/science.aan2301,Korean Research Institute of Chemical Technology,2017,South Korea,22.13,1.1047,1.1047,2.362,24.96828753,80.3,2.093,0.9586,2.183,0.0946,sub cell (~0.1 cm^2),average,NA,2016,FTO,c-TiO2/mp-TiO2,(FAPbI3)x(MAPbBr3)1-x/I3-,"(FA,MA)Pb(I,Br)3",NA,0,0.5,0.5,1,1.5,1.5,I3-,spin coating,PTAA,Au,Mesoscopic,9336,93,868.248
20,2,10.1126/science.aan2301,Korean Research Institute of Chemical Technology,2017,South Korea,19.69,1.1043,1.1043,24.463,24.66774226,72.3,19.522,0.8772,22.254,0.9917,cell ( ~1 cm^2),average,160,2016,FTO,c-TiO2/mp-TiO2,(FAPbI3)x(MAPbBr3)1-x/I3-,"(FA,MA)Pb(I,Br)3",NA,0,0.5,0.5,1,1.5,1.5,I3-,spin coating,PTAA,Au,Mesoscopic,9336,93,868.248
21,1,10.1038/s41560-018-0324-8,North China Electric Power University,2017,China,20.5,1.11,1.11,1.74,25.12998267,73.5,1.42,0.89,1.59,0.06924,sub cell (~0.1 cm^2),reverse,NA,2017,FTO,c-TiO2,n-type MAPbI3/p-type MAPbI3,MAPbI3,NA,0,1,0,1,3,0,p-type MAPbI3,spin coating,Spiro-OMeTAD,Au,Planar,792,97,76.824
22,1,10.1038/s41598-017-08642-2,University of Sheffield,2017,UK,6.59,0.847,0.847,17.9,17.76322318,43.75,6.64,,,1.0077,cell ( ~1 cm^2),NA,NA,2016,FTO,c-TiO2/mp-TiO2,MAPbI3,MAPbI3,NA,0,1,0,1,3,0,NA,spray-coating,Spiro-OMeTAD,Au,Planar,unknown,unknown,unknown
23,1,10.1021/acsenergylett.7b00573,The University of New South Wales,2017,Australia,18.04,1.1326,1.1326,25.53,21.3729594,74.6,21.553,0.9285,23.215,1.1945,cell ( ~1 cm^2),average,200,2016,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.85(MAPbBr3)0.15,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,unknown,unknown,unknown
23,2,10.1021/acsenergylett.7b00573,The University of New South Wales,2017,Australia,12.08,1.1278,1.1278,276.735,17.30588839,61.9,193.08,0.8018,240.764,15.9908,submodule ( >10 cm^2),average,200,2016,FTO,c-TiO2/mp-TiO2,(FAPbI3)0.85(MAPbBr3)0.15,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Mesoscopic,unknown,unknown,unknown
24,1,10.1002/adma.201703852,"Institute of semicondutors, Chinese Academy of Sciences",2017,China,20.91,1.1164,1.1164,1.77,24.01628223,78,1.542,0.9473,1.627,0.0737,sub cell (~0.1 cm^2),average,20,2017,ITO,SnO2,(FAPbI3)x(MAPbBr3)1-x/I3-,"(FA,MA)Pb(I,Br)3",NA,0,0.15,0.85,1,2.55,0.45,NA,spin coating,Spiro-OMeTAD,Au,Planar,unknown,unknown,unknown
25,1,10.1002/adma.201707583,North China Electric Power University,2017,China,20.8,1.14,1.14,2.62,24.33361196,75,2.24,0.92,2.43,0.10767,sub cell (~0.1 cm^2),reverse,NA,2018,ITO,SnO2,FA0.15MA0.85PbI3/rubrene,"(FA,MA)PbI3",NA,0,0.85,0.15,1,3,0,rubrene,spin coating,Spiro-OMeTAD,Au,Planar,720,98,70.56
